Time (ms),L-AI,L-TS,C7,R-TS,R-AI,T8,R-WRIST-JOINT,R-ELBOW-JOINT
6102,-17.8440094,-23.26544189,-17.54972839,-19.33792114,-22.22809601,-17.87610626,88.92240143,107.0766678
6141,-17.52446747,-23.30592346,-17.62358856,-19.55952454,-21.98073578,-18.03015137,78.84050751,99.7408371
6163,-17.18943024,-23.49755859,-17.7877655,-19.94258881,-21.65821838,-18.30393219,70.09832001,93.47412109
6192,-16.80560303,-23.82597351,-17.99137115,-20.37094116,-21.20892334,-18.65092468,62.70453644,88.29154968
6224,-16.34114838,-24.23842621,-18.17302704,-20.72826385,-20.59966278,-19.00545502,56.67539215,84.20861816
6249,-15.77990723,-24.64546967,-18.29363251,-20.94952393,-19.83329773,-19.31226349,52.0422287,81.25175476
6291,-15.11997223,-24.96268463,-18.35057831,-21.04940796,-18.95110321,-19.55485535,48.94934845,79.49848938
6327,-14.36397552,-25.15287781,-18.36860657,-21.11562347,-18.01634216,-19.75684357,47.74140167,79.11224365
6361,-13.52083588,-25.22831726,-18.38850403,-21.26534271,-17.09368896,-19.96369171,48.95133209,80.33912659
6390,-12.61229706,-25.22904205,-18.46089935,-21.59454346,-16.23119354,-20.22130585,53.12648773,83.47172546
6423,-11.67070007,-25.2073822,-18.63895416,-22.14595032,-15.45185089,-20.55422974,60.53087616,88.79788208
6459,-10.73345184,-25.22358704,-18.96224976,-22.90288544,-14.76205444,-20.95183563,71.01641083,96.54341888
6492,-9.839019775,-25.34445953,-19.43490601,-23.81264496,-14.15937805,-21.38471985,84.18704987,106.820076
6529,-9.022705078,-25.63530731,-20.02346039,-24.82009888,-13.62956238,-21.83963013,99.63732147,119.6148834
6560,-8.310249329,-26.1350708,-20.68428802,-25.88676453,-13.15216827,-22.32646942,117.1076736,134.8118896
6595,-7.707710266,-26.82621765,-21.38318634,-26.99272156,-12.71557617,-22.85240173,136.5229492,152.2206726
6626,-7.192863464,-27.63626099,-22.09234619,-28.12745667,-12.31611633,-23.4048996,157.8631592,171.6329498
6675,-6.721115112,-28.47341537,-22.79077148,-29.27345276,-11.94197083,-23.96182251,180.9654236,192.8759155
6700,-6.246772766,-29.26484299,-23.4624176,-30.39599609,-11.56827545,-24.49929047,205.4733887,215.7964783
6726,-5.742179871,-29.96871948,-24.08564758,-31.45262146,-11.17062378,-24.98152924,230.9353027,240.1881104
